Year,Scotland,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Edinburgh,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Eilean Siar,North Ayrshire,North Lanarkshire,Orkney,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian
1997,2958,285,66,21,24,426,24,42,108,84,30,33,9,42,126,990,30,75,21,12,3,66,66,0,30,54,24,12,57,78,33,33,54
1998,3378,333,57,30,21,507,24,72,129,90,24,33,21,54,120,1056,42,111,42,9,0,63,96,0,39,48,36,12,72,114,33,45,48
1999,4128,327,78,24,36,456,33,81,108,129,30,42,15,66,165,1476,39,156,42,6,3,102,162,0,39,78,30,9,114,144,51,45,36
2000,4539,411,81,27,45,462,33,78,93,135,39,39,27,84,243,1521,54,147,42,9,9,117,162,0,69,114,33,9,102,147,63,69,78
2001,4965,399,78,33,39,417,27,90,111,147,45,36,24,75,300,1689,57,162,33,18,6,177,279,0,57,96,42,0,123,177,45,90,81
2002,5220,381,102,27,36,513,27,135,102,222,39,48,30,102,234,1629,57,165,42,27,6,243,249,0,42,126,36,9,144,195,51,105,90
2003,5469,432,90,39,48,483,42,129,108,243,54,48,24,93,264,1620,69,222,39,18,9,258,213,6,99,132,60,9,126,192,75,135,90
2004,5064,402,84,30,57,567,30,99,84,204,24,39,27,63,276,1371,84,228,48,33,12,258,186,6,96,111,45,6,156,180,63,102,96
2005,5112,444,117,24,42,543,27,90,81,222,30,60,39,69,354,1251,102,177,54,36,15,276,171,6,87,132,45,12,189,153,60,90,108
2006,4974,405,99,36,39,633,21,105,93,207,27,63,33,57,390,1098,108,105,72,36,12,258,201,0,81,123,57,27,165,159,45,84,135
2007,5505,498,108,36,42,660,27,117,108,243,36,78,45,60,399,1230,105,114,81,27,12,288,198,3,114,171,57,18,177,186,45,69,156
2008,6264,519,144,45,54,693,45,138,141,294,45,69,42,66,405,1353,147,198,66,39,9,333,255,3,132,165,81,30,165,171,69,117,222
2009,6639,573,159,72,45,723,51,153,249,255,36,84,60,99,441,1287,192,201,84,42,6,348,240,3,117,237,75,45,177,183,78,111,207
2010,6489,627,141,87,51,618,36,171,291,279,42,63,54,120,441,1287,162,198,63,51,6,321,204,3,120,210,69,33,156,162,93,132,201
2011,6960,537,165,105,54,756,39,162,330,324,48,78,45,96,399,1380,156,201,84,48,9,360,219,9,126,267,84,36,177,183,114,144,219
2012,7074,471,144,102,54,762,39,168,330,360,45,102,45,87,462,1275,219,228,93,45,12,375,255,6,138,261,102,21,162,249,75,96,297
2013,6477,402,120,72,42,714,33,174,306,300,45,78,45,87,582,1074,186,156,108,42,9,294,288,9,141,237,81,18,126,252,93,114,249
2014,7314,429,120,111,42,846,48,192,357,291,42,111,48,144,750,1152,168,195,99,48,12,321,354,15,144,276,90,27,162,264,81,126,249
2015,7881,387,117,129,33,1134,42,171,369,318,57,120,54,156,675,1260,171,228,141,54,15,348,369,15,126,288,81,21,183,312,96,141,267
2016,8460,396,120,81,54,906,84,186,354,303,69,117,57,186,645,1617,213,252,114,108,9,387,444,9,156,282,87,24,192,444,117,183,261
2017,9525,408,147,66,84,777,69,231,384,381,84,102,54,195,756,2067,225,246,108,75,9,507,540,6,147,351,90,27,246,450,144,225,321
2018,10509,465,147,120,84,846,111,276,471,414,87,105,69,291,855,2241,267,210,177,87,9,474,672,15,153,294,114,18,237,522,120,204,345